"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2313","Registration with correct email, username and password","LMS system","Sat Jan 31 07:49:17 UTC 2026","passed","Sat Jan 31 07:49:19 UTC 2026","Registration","Authentication","",""
"","1939","User login with wrong email or password","LMS system","Sat Jan 31 07:49:14 UTC 2026","passed","Sat Jan 31 07:49:16 UTC 2026","Authorization","Authentication","",""
"","2234","Create course","LMS system","Sat Jan 31 07:49:22 UTC 2026","passed","Sat Jan 31 07:49:24 UTC 2026","Courses","Courses","",""
"","1913","Check displaying of dashboard page","LMS system","Sat Jan 31 07:49:24 UTC 2026","passed","Sat Jan 31 07:49:26 UTC 2026","Dashboard","Dashboard","",""
"","1532","Check displaying of empty courses list","LMS system","Sat Jan 31 07:49:21 UTC 2026","passed","Sat Jan 31 07:49:22 UTC 2026","Courses","Courses","",""
"","2026","User login with wrong email or password","LMS system","Sat Jan 31 07:49:12 UTC 2026","passed","Sat Jan 31 07:49:14 UTC 2026","Authorization","Authentication","",""
"","3509","User login with correct email and password","LMS system","Sat Jan 31 07:49:14 UTC 2026","passed","Sat Jan 31 07:49:18 UTC 2026","Authorization","Authentication","",""
"","1652","Navigation from login page to registration page","LMS system","Sat Jan 31 07:49:18 UTC 2026","passed","Sat Jan 31 07:49:20 UTC 2026","Authorization","Authentication","",""
"","2944","Edit course","LMS system","Sat Jan 31 07:49:23 UTC 2026","passed","Sat Jan 31 07:49:25 UTC 2026","Courses","Courses","",""
"","2017","User login with wrong email or password","LMS system","Sat Jan 31 07:49:12 UTC 2026","passed","Sat Jan 31 07:49:14 UTC 2026","Authorization","Authentication","",""
