"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1374","Create course","LMS system","2026-01-09","passed","2026-01-09","Courses","Courses","",""
"","1398","Registration with correct email, username and password","LMS system","2026-01-09","passed","2026-01-09","Registration","Authentication","",""
"","1854","Edit course","LMS system","2026-01-09","passed","2026-01-09","Courses","Courses","",""
"","1570","User login with wrong email or password","LMS system","2026-01-09","passed","2026-01-09","Authorization","Authentication","",""
"","1049","Check displaying of empty courses list","LMS system","2026-01-09","passed","2026-01-09","Courses","Courses","",""
"","1589","User login with wrong email or password","LMS system","2026-01-09","passed","2026-01-09","Authorization","Authentication","",""
"","2077","User login with correct email and password","LMS system","2026-01-09","passed","2026-01-09","Authorization","Authentication","",""
"","1461","Check displaying of dashboard page","LMS system","2026-01-09","passed","2026-01-09","Dashboard","Dashboard","",""
"","1985","User login with wrong email or password","LMS system","2026-01-09","passed","2026-01-09","Authorization","Authentication","",""
"","1323","Navigation from login page to registration page","LMS system","2026-01-09","passed","2026-01-09","Authorization","Authentication","",""
